Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.9,3.9,Arsenal,1,0.04,3,0.12,2,0.09,2,0.10,3,0.12,2,0.09,4,0.16,3,0.10,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,6,0.20,5,0.20,3,0.10,2,0.09,3,0.10,3,0.11,3,0.12,3,0.11,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,10,0.56,13,0.82,11,0.62,11,0.68,12,0.71,12,0.64,13,0.79,14,0.72,0.00
D,5,Gabriel,4.8,4.8,Arsenal,85,2.82,81,4.15,77,3.06,78,3.96,76,3.77,75,2.54,73,2.85,74,1.98,0.62
M,6,Havertz,7.1,7.1,Arsenal,36,1.89,36,2.60,26,1.54,27,1.92,29,1.97,28,1.60,30,2.05,31,1.57,0.00
D,7,Holding,4.4,4.4,Crystal Palace,2,0.08,4,0.17,6,0.23,8,0.25,9,0.34,9,0.24,10,0.19,11,0.32,0.00
F,8,G.Jesus,7.9,7.9,Arsenal,0,0.00,13,0.89,69,3.39,75,4.52,76,4.43,74,3.51,72,4.20,72,3.02,0.00
M,9,Jorginho,5.3,5.3,Arsenal,51,1.66,50,2.00,35,1.31,32,1.35,34,1.39,35,1.25,35,1.34,35,1.20,0.00
D,10,Kiwior,4.3,4.3,Arsenal,11,0.34,17,0.79,20,0.79,20,0.98,22,1.09,23,0.80,26,1.06,26,0.77,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.7,7.7,Arsenal,82,3.94,77,5.43,72,3.92,69,4.55,68,4.37,68,3.55,66,4.14,67,3.09,0.03
F,13,Nketiah,5.5,5.5,Arsenal,66,3.17,56,3.82,28,1.62,25,1.76,23,1.61,24,1.42,24,1.67,27,1.39,0.01
M,14,Ødegaard,8.5,8.5,Arsenal,86,4.08,83,5.76,81,4.29,80,5.29,79,5.03,78,3.92,77,4.77,78,3.46,0.04
M,15,Thomas,4.8,4.8,Arsenal,0,0.00,10,0.44,47,1.58,55,2.10,53,2.01,56,1.78,54,1.91,54,1.60,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.8,4.8,Arsenal,10,0.37,13,0.61,92,3.78,18,0.81,17,0.78,17,0.64,17,0.66,19,0.66,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,8.6,8.6,Arsenal,89,4.30,86,6.13,82,4.39,80,5.42,78,5.14,78,3.98,78,4.95,75,3.38,0.76
D,20,Saliba,5.2,5.2,Arsenal,90,2.81,86,4.10,84,3.12,81,3.84,82,3.82,80,2.48,79,2.81,79,1.97,0.07
M,21,Sambi,4.9,4.9,Luton,0,0.00,0,0.00,11,0.40,32,0.97,0,0.00,52,1.43,59,1.76,56,1.65,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,17,0.94,17,1.23,14,0.83,14,0.97,17,1.12,15,0.90,17,1.11,17,0.90,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,0,0.00,35,1.19,28,1.01,27,1.24,27,1.02,30,1.16,27,0.93,26,1.20,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,40,1.50,46,2.50,49,2.10,48,2.56,49,2.59,50,1.85,49,2.09,49,1.47,0.00
M,26,Trossard,6.5,6.5,Arsenal,31,1.73,33,2.44,25,1.54,26,1.93,28,1.99,28,1.66,30,2.02,29,1.50,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,91,2.76,87,1.21,81,2.48,80,1.94,79,1.15,78,2.07,77,1.15,76,1.08,0.00
G,28,Turner,4.1,4.0,Nott'm Forest,62,2.20,61,2.14,60,2.12,59,2.35,61,2.24,59,2.18,58,2.04,56,2.22,0.67
D,29,White,5.7,5.7,Arsenal,86,2.89,81,4.19,77,3.08,75,3.84,74,3.70,74,2.52,73,2.90,75,2.03,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,4.9,4.9,Arsenal,67,2.72,66,3.99,62,2.94,61,3.67,61,3.57,59,2.43,59,2.81,59,1.97,0.06
D,32,Alex Moreno,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,33,Archer,4.5,4.5,Sheffield Utd,78,3.67,74,2.87,71,3.48,70,3.00,70,2.78,69,3.06,69,2.46,66,2.53,0.68
M,34,Bailey,5.5,5.5,Aston Villa,47,2.74,56,3.53,53,2.62,54,3.13,52,2.35,49,2.52,46,2.52,48,3.68,0.00
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,5.2,5.1,Aston Villa,84,3.52,81,3.88,76,2.01,77,3.18,77,1.99,75,2.47,72,2.57,73,4.23,0.87
D,37,Chambers,3.9,3.9,Aston Villa,7,0.25,12,0.49,13,0.34,16,0.61,17,0.44,16,0.53,17,0.58,18,0.89,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,18,0.76,24,1.03,26,0.98,27,1.07,27,0.95,26,0.99,23,0.89,23,1.08,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,41,1.67,47,2.08,46,1.23,47,1.82,46,1.23,49,1.56,48,1.64,48,2.51,0.00
D,42,Digne,4.7,4.7,Aston Villa,74,3.15,70,3.39,71,1.99,72,2.99,73,1.96,71,2.41,73,2.67,73,4.20,0.02
M,43,Douglas Luiz,5.5,5.5,Aston Villa,67,3.02,68,3.45,70,2.68,69,3.14,72,2.56,69,2.75,71,2.94,71,4.19,0.01
F,44,Duran,5.0,5.0,Aston Villa,11,0.73,16,1.18,16,0.98,18,1.23,18,0.96,18,1.07,15,0.94,17,1.38,0.00
D,45,Hause,4.0,4.0,Aston Villa,0,0.00,1,0.06,2,0.07,2,0.07,3,0.09,3,0.10,3,0.11,3,0.15,0.00
M,46,Iroegbunam,4.4,4.4,Aston Villa,0,0.00,2,0.17,4,0.23,4,0.28,4,0.24,4,0.25,3,0.23,3,0.25,0.00
M,47,Kamara,5.0,5.0,Aston Villa,80,2.28,75,2.28,73,1.88,70,2.03,69,1.77,69,1.87,68,1.89,68,2.28,0.00
D,48,Konsa,4.5,4.5,Aston Villa,80,3.03,78,3.32,78,1.83,77,2.78,74,1.75,74,2.20,75,2.39,74,3.73,0.00
G,49,Martinez,4.9,4.9,Aston Villa,94,3.76,92,3.82,91,3.13,90,3.54,91,3.16,90,3.33,91,3.40,90,4.05,0.00
M,50,McGinn,5.5,5.5,Aston Villa,81,2.84,78,2.99,78,2.43,76,2.71,78,2.28,77,2.45,73,2.43,73,3.24,0.00
D,51,Mings,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,52,Nakamba,4.4,4.4,Luton,90,1.97,87,1.89,82,2.03,79,1.80,77,1.74,76,1.65,74,1.76,74,1.69,0.02
G,53,Olsen,4.0,4.0,Aston Villa,1,0.04,3,0.14,4,0.14,5,0.18,4,0.15,5,0.19,4,0.16,5,0.22,0.00
M,54,Philogene,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,55,J.Ramsey,5.9,5.9,Aston Villa,0,0.00,0,0.00,0,0.00,12,0.57,19,0.73,33,1.31,50,2.07,55,3.07,0.00
M,56,Sanson,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,58,Tielemans,5.7,5.7,Aston Villa,29,1.43,37,1.89,37,1.50,38,1.77,36,1.40,35,1.49,34,1.50,33,1.94,0.00
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,16,1.00,25,1.71,26,1.42,27,1.67,25,1.28,23,1.30,20,1.17,18,1.47,0.00
F,60,Watkins,8.4,8.2,Aston Villa,88,4.92,86,5.36,86,4.17,85,4.83,84,3.59,85,4.17,84,4.38,82,6.20,0.79
F,61,Wesley,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,62,Anthony,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,63,Billing,5.2,5.2,Bournemouth,84,2.24,79,2.58,77,2.96,74,2.58,73,2.42,73,2.26,70,3.03,71,2.43,0.00
M,64,Brooks,4.9,4.9,Bournemouth,24,1.04,26,1.29,26,1.50,28,1.45,26,1.27,27,1.25,27,1.73,29,1.41,0.00
M,65,Christie,5.0,5.0,Bournemouth,72,2.23,67,2.53,65,2.95,65,2.63,61,2.38,61,2.21,63,3.16,61,2.43,0.00
M,66,L.Cook,5.0,5.0,Bournemouth,0,0.00,69,2.03,66,2.21,64,1.97,66,2.00,65,1.84,62,2.25,61,1.90,0.00
M,67,Siriki,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,68,Fredericks,4.4,4.4,Bournemouth,12,0.25,12,0.36,12,0.48,11,0.37,14,0.47,13,0.37,16,0.69,17,0.59,0.00
D,69,Hill,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,70,Kelly,4.5,4.5,Bournemouth,87,0.93,84,1.82,82,2.87,80,2.01,80,2.33,79,1.48,77,3.15,77,2.26,0.00
M,71,Kilkenny,4.4,4.4,Bournemouth,12,0.43,2,0.11,3,0.17,3,0.16,4,0.17,5,0.21,6,0.27,6,0.25,0.00
M,72,Kluivert,4.7,4.7,Bournemouth,31,1.26,31,1.52,32,1.88,32,1.68,33,1.60,35,1.57,34,2.17,35,1.71,0.00
M,73,Lowe,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,74,Marcondes,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,75,Mepham,4.3,4.3,Bournemouth,8,0.13,10,0.24,15,0.52,17,0.45,17,0.49,19,0.39,17,0.69,17,0.51,0.00
F,76,Moore,4.7,4.7,Bournemouth,1,0.08,3,0.19,3,0.25,5,0.30,4,0.27,6,0.36,6,0.42,7,0.40,0.00
G,77,Neto,4.5,4.5,Bournemouth,0,0.00,0,0.00,62,2.44,92,3.20,90,3.28,90,2.93,88,3.65,87,3.12,0.00
M,78,O.Dango,4.8,4.8,Bournemouth,22,0.97,24,1.21,24,1.41,25,1.32,26,1.29,25,1.19,28,1.73,26,1.31,0.00
M,79,Pearson,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,80,Randolph,4.0,4.0,Bournemouth,0,0.00,2,0.08,2,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,81,Rothwell,4.8,4.8,Bournemouth,68,1.99,25,1.04,27,1.23,29,1.21,29,1.18,29,1.13,30,1.44,31,1.26,0.00
F,82,Semenyo,4.5,4.5,Bournemouth,13,0.58,13,0.68,16,1.03,16,0.94,19,1.00,19,0.96,20,1.35,20,1.08,0.00
D,83,Senesi,4.4,4.4,Bournemouth,27,0.42,30,0.79,33,1.30,35,1.01,38,1.23,37,0.82,39,1.73,41,1.30,0.00
D,84,Smith,4.4,4.4,Bournemouth,24,0.43,24,0.67,26,0.99,28,0.85,28,0.92,30,0.72,33,1.46,30,0.99,0.00
F,85,Solanke,6.4,6.4,Bournemouth,87,2.88,84,3.66,82,4.42,81,3.88,79,3.38,78,3.09,78,4.77,76,3.43,0.06
M,86,Tavernier,5.4,5.4,Bournemouth,63,2.15,60,2.50,58,2.95,57,2.58,58,2.43,56,2.19,56,3.14,56,2.44,0.00
M,87,Hamed Traorè,4.8,4.8,Bournemouth,9,0.47,10,0.54,11,0.63,12,0.63,13,0.65,13,0.63,13,0.85,15,0.78,0.00
G,88,Travers,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,89,Zabarnyi,4.5,4.5,Bournemouth,89,0.90,85,1.77,82,2.78,79,1.93,79,2.22,77,1.37,77,3.08,77,2.18,0.00
D,90,Ajer,4.5,4.5,Brentford,50,1.84,52,1.06,51,1.50,50,2.47,51,1.20,49,2.09,48,1.56,0,0.00,0.00
G,91,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,92,Baptiste,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,9,0.41,12,0.47,17,0.73,25,1.02,0,0.00,0.00
D,93,Bech,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,94,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,95,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,96,Collins,4.5,4.5,Brentford,63,2.18,54,1.00,55,1.53,56,2.65,56,1.21,58,2.37,54,1.66,0,0.00,0.00
G,97,Cox,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,98,Damsgaard,4.9,4.9,Brentford,0,0.00,0,0.00,10,0.43,30,1.68,38,1.58,50,2.45,54,2.42,0,0.00,0.00
M,99,Dasilva,4.7,4.7,Brentford,0,0.00,0,0.00,0,0.00,10,0.54,16,0.68,22,1.05,34,1.50,0,0.00,0.00
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,101,Flekken,4.5,4.5,Brentford,94,3.68,94,3.14,93,3.38,92,4.08,91,3.11,90,3.74,90,3.34,0,0.00,0.09
D,102,Goode,3.9,3.9,Brentford,0,0.00,1,0.03,2,0.06,3,0.10,3,0.08,4,0.12,3,0.09,0,0.00,0.00
D,103,Henry,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,104,Hickey,4.5,4.5,Brentford,86,3.00,84,1.59,81,2.31,80,3.85,80,1.77,78,3.25,79,2.47,0,0.00,0.00
M,105,Janelt,5.4,5.4,Brentford,76,2.51,71,2.02,70,2.13,68,2.63,66,2.01,65,2.30,62,2.02,0,0.00,0.00
M,106,Jensen,5.5,5.5,Brentford,72,2.99,70,2.35,68,2.47,67,3.29,65,2.41,64,2.87,61,2.47,0,0.00,0.00
M,107,Lewis-Potter,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,108,Mbeumo,6.6,6.6,Brentford,89,5.58,88,3.83,85,4.14,83,6.25,82,4.16,81,5.40,80,4.71,0,0.00,0.39
D,109,Mee,4.8,4.8,Brentford,71,2.65,81,1.64,78,2.33,77,3.93,77,1.82,77,3.43,77,2.55,0,0.00,0.00
M,110,Nørgaard,5.5,5.5,Brentford,88,2.75,85,2.21,78,2.22,73,2.72,75,2.14,72,2.46,73,2.26,0,0.00,0.00
M,111,Onyeka,4.9,4.9,Brentford,43,1.67,46,1.54,47,1.62,42,1.83,36,1.33,33,1.41,28,1.15,0,0.00,0.00
D,112,Pinnock,4.5,4.5,Brentford,80,2.92,80,1.58,78,2.27,74,3.67,73,1.69,72,3.10,75,2.42,0,0.00,0.00
G,113,Raya,4.8,4.8,Arsenal,85,3.33,81,3.79,0,0.00,77,3.60,78,3.60,78,3.04,78,3.16,76,2.73,0.05
D,114,Roerslev,4.4,4.4,Brentford,42,1.70,41,0.99,42,1.40,40,2.14,40,1.11,43,1.99,40,1.47,0,0.00,0.00
M,115,Schade,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,116,Strakosha,3.9,3.9,Brentford,0,0.00,1,0.03,2,0.07,3,0.13,4,0.13,5,0.21,5,0.18,0,0.00,0.14
F,117,Toney,7.9,7.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,118,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,119,Wissa,5.9,5.9,Brentford,75,3.67,73,2.76,72,2.91,70,3.95,70,2.98,69,3.53,69,3.22,0,0.00,0.00
M,120,Yarmolyuk,4.4,4.4,Brentford,8,0.34,10,0.42,13,0.50,11,0.49,10,0.40,8,0.36,7,0.31,0,0.00,0.00
D,121,Zanka,4.4,4.4,Brentford,6,0.21,7,0.17,9,0.27,8,0.38,9,0.24,8,0.35,9,0.29,0,0.00,0.00
M,122,Adingra,5.0,5.0,Brighton,55,2.61,55,3.11,58,2.75,48,2.01,48,2.51,43,2.41,34,1.46,32,1.53,0.05
M,123,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,124,Ayari,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,125,Buonanotte,4.8,4.8,Brighton,16,0.86,17,1.06,19,1.05,18,0.87,16,0.94,16,0.97,11,0.53,11,0.59,0.00
M,126,Caicedo,4.7,4.7,Chelsea,84,2.26,77,2.05,77,2.06,72,2.17,72,1.96,69,2.04,71,2.52,72,2.12,0.00
F,127,Connolly,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,128,Dahoud,4.8,4.8,Brighton,17,0.75,20,1.05,18,0.83,23,0.95,22,1.02,21,1.04,20,0.80,24,1.02,0.00
D,129,Dunk,5.0,5.0,Brighton,91,2.90,87,4.29,85,2.98,84,2.00,83,3.08,84,3.58,82,1.68,83,2.78,0.00
M,130,Enciso,5.1,5.1,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,131,Estupiñan,5.0,5.0,Brighton,21,0.83,53,3.12,77,3.20,75,2.12,73,3.25,72,3.70,71,1.75,72,2.83,0.03
F,132,Ferguson,6.0,6.0,Brighton,74,3.94,71,4.80,72,3.89,68,3.13,63,3.78,59,3.91,55,2.51,51,2.72,0.00
M,133,Gilmour,4.9,4.9,Brighton,38,1.39,42,1.76,44,1.59,39,1.34,43,1.61,40,1.59,41,1.36,41,1.47,0.00
M,134,Gross,6.3,6.3,Brighton,83,3.83,81,4.96,80,3.85,78,3.01,77,4.01,76,4.41,76,2.82,74,3.28,0.01
F,135,João Pedro,5.3,5.3,Brighton,59,3.66,56,4.64,55,3.56,53,2.80,51,3.62,50,3.96,45,2.32,45,2.69,0.06
D,136,Karbownik,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,137,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,138,Lallana,4.9,4.9,Brighton,29,1.37,32,1.83,32,1.50,30,1.30,29,1.47,27,1.50,26,1.11,25,1.18,0.00
D,139,Lamptey,4.0,4.0,Brighton,14,0.54,29,1.58,32,1.36,35,1.12,34,1.50,35,1.73,35,0.97,34,1.38,0.07
M,140,March,6.2,6.2,Brighton,0,0.00,0,0.00,0,0.00,16,0.68,25,1.38,37,2.24,59,2.30,62,2.88,0.00
G,141,McGill,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,142,Milner,4.8,4.8,Brighton,35,1.36,32,1.50,29,1.20,27,1.03,28,1.21,28,1.28,28,1.05,28,1.10,0.00
M,143,Mitoma,6.5,6.5,Brighton,83,3.81,80,4.78,77,3.65,73,2.86,71,3.65,70,3.99,68,2.56,68,3.06,0.25
M,144,Moder,4.4,4.4,Brighton,0,0.00,2,0.11,3,0.18,3,0.17,3,0.21,4,0.26,3,0.14,3,0.19,0.00
